from to width_full width
CMP_STROKE CMP_MI 5 5
CMP_STROKE CMP_NHYPDX 17 17
CMP_STROKE CMP_RENAL_PROTEIN 3 3
CMP_STROKE CMP_SD 7 7
CMP_TESTPN CMP_DIABETES_MELLITUS 1 1
CMP_TESTPN CMP_NHYPDX 2 2
CMP_TESTPN CMP_POP_ILEUS 1 1
CMP_TESTPN CMP_RENAL_PROTEIN 1 1
CMP_TESTPN CMP_STROKE 1 1
CMP_VASCU CMP_POP_HEM 1 1
CMP_VASCU CMP_RENAL_PROTEIN 1 1
CMP_WNDDEH CMP_NHYPDX 3 3
CMP_WNDDEH CMP_POP_HEM 1 1
CMP_WNDDEH CMP_RENAL_PROTEIN 1 1
CMP_WNDDEH CMP_WNDSER 4 4
CMP_WNDSER CMP_NHYPDX 2 2
CMP_WNDSER CMP_POP_ILEUS 1 1
CMP_WNDSER CMP_RENAL_HEMT 1 1
transplant CMP_BLAD 3 3
transplant CMP_BOWEL 1 1
transplant CMP_CARDARR 1 1
transplant CMP_CIP 52 50
transplant CMP_CMD 16 16
transplant CMP_COMP_INTUB 5 5
transplant CMP_DIABETES_MELLITUS 111 50
transplant CMP_DYSR 30 30
transplant CMP_EPIDIDYMITIS 5 5
transplant CMP_INCHER 9 9
transplant CMP_LIST 1 1
transplant CMP_MI 63 50
transplant CMP_NHYPDX 606 50
transplant CMP_PANCREAT 6 6
transplant CMP_PNTHX 103 50
transplant CMP_POP_DVT 3 3
transplant CMP_POP_HEM 17 17
transplant CMP_POP_ILEUS 135 50
transplant CMP_POP_RETUB 6 6
transplant CMP_POP_RF 5 5
transplant CMP_PULEM 3 3
transplant CMP_REC_TRANS 1 1
transplant CMP_RENAL_HEMT 12 12
transplant CMP_RENAL_MICRO 5 5
transplant CMP_RENAL_NEPH 9 9
transplant CMP_RENAL_PROTEIN 99 50
transplant CMP_REOP_INCHER 1 1
transplant CMP_RHAB 2 2
transplant CMP_SD 8 8
transplant CMP_SPLEN 3 3
transplant CMP_STROKE 31 31
transplant CMP_TESTPN 22 22
transplant CMP_VASCU 2 2
transplant CMP_WNDDEH 12 12
transplant CMP_WNDSER 10 10
